exp_index,n_msgs,txhash,height,code,gas_used,gas_wanted,block_time_sec,pr_block_time_sec,baseline_avg_sec,delta_sec,pr_delta_sec,fee_amount,gas_limit,timestamp
0,1,E25D1113AF3160B9450F78A6B8C8654113BBAE47EE5C1A2D3E9BDFD14715DC56,47,0,97943,165000,1.018447,1.019023,1.014831,0.003616,0.004192,4125,165000,2025-08-27T10:52:43Z
1,200,7F3331731A12BE42759C30E1F7861C79D2E0CE5158C66818C75187FD7AB10546,58,0,4226246,9120000,1.019264,1.024772,1.014831,0.004433,0.009941,228000,9120000,2025-08-27T10:52:55Z
2,400,EA939720BB3C54616AC271BB915D0B3B32EF07A39C05B9F37E09883413AEC7A0,70,0,8409150,18120000,1.013417,1.021703,1.014831,-0.001414,0.006872,453000,18120000,2025-08-27T10:53:07Z
3,600,A13112BF78945A53A5B6F68DD53967679B57D6CB43D4D135C191E8BDEF9B612E,81,0,12595213,27120000,1.009631,1.019559,1.014831,-0.005200,0.004728,678000,27120000,2025-08-27T10:53:18Z
4,800,76F6C678A3FE54C17363F102F1D26FF5594E4BB88E292C092408E8BCCAFEC1B0,93,0,16794350,36120000,1.015321,1.020303,1.014831,0.000490,0.005472,903000,36120000,2025-08-27T10:53:30Z
5,1000,F7E650623DC370060973A83553C403981B950DA8CE9012FB5BC7D17457F8B145,105,0,20980400,45120000,1.014368,1.030439,1.014831,-0.000463,0.015608,1128000,45120000,2025-08-27T10:53:42Z
6,1200,C1FE3223A941A5DAD6D7799454039A820A9A8B46697F1F32509D4958FC6DA8F1,117,0,25166400,54120000,1.014825,1.033647,1.014831,-0.000006,0.018816,1353000,54120000,2025-08-27T10:53:55Z
7,1400,7F223B031F595F5C463F747DB91A41842B8E0DBDF3CD159B92CAA68B57BD3F7F,129,0,29352400,63120000,1.011478,1.037887,1.014831,-0.003353,0.023056,1578000,63120000,2025-08-27T10:54:07Z
8,1600,0F46DAC2689AB13F62733D65029218AA5855592142178D0D7C29C45218F10E6B,141,0,33538400,72120000,1.015654,1.032604,1.014831,0.000823,0.017773,1803000,72120000,2025-08-27T10:54:19Z
9,1800,491B8C732F8439E8CE3C33D0EC2B09CD6E7867E20C3B7F8C6F77EB3296D74A69,153,0,37724400,81120000,1.010129,1.046488,1.014831,-0.004702,0.031657,2028000,81120000,2025-08-27T10:54:31Z
